SECURITY_TYPE;TYPE;SECID;SHORTNAME;NAME;REGNUMBER;PRIMARY_BOARDID;FACEVALUE;FACEUNIT;ISIN
Биржевая облигация;exchange_bond;RU000A102C88;СберИОС358;СберИОС 001Р-358R 5Г РБЧ;TQCB;1000;RUB;RU000A102C88
Биржевая облигация;exchange_bond;RU000A102C96;СберИОС363;СберИОС 001Р-363R 5Г СИТК ИНД;TQCB;1000;RUB;RU000A102C96
Биржевая облигация;exchange_bond;RU000A102CA6;СберИОС364;СберИОС 001Р-364R 5Г ВСТГЭ ИНД;TQCB;1000;RUB;RU000A102CA6
Биржевая облигация;exchange_bond;RU000A102D38;СберИОС368;СберИОС 001Р-368R 5Г СРВП;TQCB;1000;RUB;RU000A102D38
Биржевая облигация;exchange_bond;RU000A102D61;СберИОС382;СберИОС 001Р-382R 5Y СМШ;TQCB;1000;RUB;RU000A102D61
Биржевая облигация;exchange_bond;RU000A102D87;СберИОС369;СберИОС 001Р-369R 5Г СРВП;TQCB;1000;RUB;RU000A102D87
Биржевая облигация;exchange_bond;RU000A102D53;СберИОС380;СберИОС 001Р-380R 5Y СМШ;TQCB;1000;RUB;RU000A102D53
Биржевая облигация;exchange_bond;RU000A102DF3;СберИОС378;СберИОС 001Р-378R 5Г SBERLV85;TQCB;1000;RUB;RU000A102DF3
Биржевая облигация;exchange_bond;RU000A102DG1;СберИОС370;СберИОС 001Р-370R 5Г СРВП;TQCB;1000;RUB;RU000A102DG1
Биржевая облигация;exchange_bond;RU000A102FL6;СберИОС377;СберИОС 001Р-377R 5Г ВЗР ИНД;TQCB;1000;RUB;RU000A102FL6
Биржевая облигация;exchange_bond;RU000A102G76;СберИОС383;СберИОС 001Р-383R 5Г СРВП;TQCB;1000;RUB;RU000A102G76
Биржевая облигация;exchange_bond;RU000A102GG4;СберИОС384;СберИОС 001Р-384R 5Г СРВП;TQCB;1000;RUB;RU000A102GG4
Биржевая облигация;exchange_bond;RU000A102GH2;СберИОС385;СберИОС 001Р-385R 5Г СРВП;TQCB;1000;RUB;RU000A102GH2
Биржевая облигация;exchange_bond;RU000A102GL4;СберИОС389;СберИОС 001Р-389R 5Г БТЕХ ИНД;TQCB;1000;RUB;RU000A102GL4
Биржевая облигация;exchange_bond;RU000A102GM2;СберИОС390;СберИОС 001Р-390R 5Г БТЕХ ИНД;TQCB;1000;RUB;RU000A102GM2
Биржевая облигация;exchange_bond;RU000A102GN0;СберИОС391;СберИОС 001Р-391R 5Г РБЧ;TQCB;1000;RUB;RU000A102GN0
Биржевая облигация;exchange_bond;RU000A102GP5;СберИОС392;СберИОС 001Р-392R 5Г РБЧ;TQCB;1000;RUB;RU000A102GP5
Биржевая облигация;exchange_bond;RU000A102GQ3;СберИОС393;СберИОС 001Р-393R 5Г НГК;TQCB;1000;RUB;RU000A102GQ3
Биржевая облигация;exchange_bond;RU000A102GR1;СберИОС394;СберИОС 001Р-394R 5Г НГК;TQCB;1000;RUB;RU000A102GR1
Биржевая облигация;exchange_bond;RU000A102GZ4;СберИОС396;СберИОС 001Р-396R 5Y СМШ;TQCB;1000;RUB;RU000A102GZ4
Биржевая облигация;exchange_bond;RU000A102HH0;СберИОС386;СберИОС 001Р-386R 5Г ВП;TQCB;1000;RUB;RU000A102HH0
Биржевая облигация;exchange_bond;RU000A102HK4;СберИОС387;СберИОС 001Р-387R 5Г ВП;TQCB;1000;RUB;RU000A102HK4
Биржевая облигация;exchange_bond;RU000A102JW5;СберИОС399;СберИОС 001Р-399R 5Г НГ;TQCB;1000;RUB;RU000A102JW5
Корпоративная облигация;corporate_bond;RU000A102HC1;Сбер2СУБ2R;Сбербанк 002СУБ-02R;TQCB;10000000;RUB;RU000A102HC1
